id,long,lat,dro1945,dro2045B1,dro2095B1,dro2045A1fi,dro2095A1fi,gdd1945,gdd2045B1,gdd2095B1,gdd2045A1fi,gdd2095A1fi,Tc1945,Tc2045B1,Tc2095B1,Tc2045A1fi,Tc2095A1fi,Tw1945,Tw2045B1,Tw2095B1,Tw2045A1fi,Tw2095A1fi
29520,31.08,38.08,0.47,0.531,0.557,0.54,0.65,2057,2716,3063,2955,4209,-1.4,-0.1,1.1,0.1,3,19.6,23.4,25.3,24.7,31
29521,31.08,38.25,0.49,0.539,0.563,0.55,0.64,2481,3169,3529,3427,4778,0.7,1.9,3,2.1,5.1,21.1,25.1,27.1,26.3,32.8
29522,31.08,38.42,0.46,0.516,0.545,0.53,0.64,2030,2680,3011,2925,4152,-1.4,-0.1,1.1,0.1,3.1,19.3,23.2,25.1,24.6,31
29523,31.08,38.58,0.47,0.525,0.564,0.56,0.66,2166,2814,3146,3067,4326,-0.9,0.5,1.8,0.7,3.9,19.9,23.8,25.7,25.3,32.2
29524,31.08,38.75,0.48,0.554,0.594,0.59,0.68,2259,2903,3235,3162,4412,-0.5,0.9,2.1,1.1,4.4,20.3,24.2,26.2,25.8,32.8
29525,31.08,38.92,0.47,0.543,0.582,0.58,0.67,2081,2699,3019,2957,4156,-1.3,0.1,1.4,0.4,3.7,19.5,23.5,25.5,25.3,32.6
29526,31.08,39.08,0.54,0.611,0.645,0.64,0.71,2326,2937,3254,3199,4445,-0.6,1.1,2.4,1.3,4.7,20.5,24.5,26.6,26.4,34
29527,31.08,39.25,0.58,0.643,0.672,0.67,0.71,2451,3053,3370,3321,4592,-0.2,1.6,2.8,1.8,5.2,21,25.1,27.1,27.1,35
29528,31.08,39.42,0.61,0.659,0.685,0.68,0.72,2518,3127,3448,3402,4705,0,1.8,3.1,2.1,5.7,21.3,25.3,27.4,27.4,35.4
29529,31.08,39.58,0.61,0.651,0.68,0.67,0.72,2462,3065,3390,3330,4616,-0.3,1.7,3,2,5.5,21.2,25.1,27.2,27.2,35.2
29530,31.08,39.75,0.63,0.658,0.684,0.68,0.72,2593,3200,3533,3472,4808,0.2,2.2,3.5,2.5,6.1,21.6,25.6,27.7,27.8,35.8
29531,31.08,39.92,0.5,0.54,0.578,0.57,0.65,2149,2736,3057,2983,4200,-1.4,0.8,1.9,1,4.3,19.8,23.7,25.8,25.8,33.8
