id,long,lat,dro1945,dro2045B1,dro2095B1,dro2045A1fi,dro2095A1fi,gdd1945,gdd2045B1,gdd2095B1,gdd2045A1fi,gdd2095A1fi,Tc1945,Tc2045B1,Tc2095B1,Tc2045A1fi,Tc2095A1fi,Tw1945,Tw2045B1,Tw2095B1,Tw2045A1fi,Tw2095A1fi
1,-10.42,52.08,0.02,0.023,0.023,0.02,0.02,2014,2279,2459,2352,2882,6.5,7.6,8.1,7.9,9.3,15,15.8,16.3,16.2,17.8
2,-10.25,51.92,0.02,0.023,0.022,0.02,0.02,2024,2291,2471,2374,2906,6.5,7.7,8.2,7.9,9.4,15.1,15.7,16.2,16.1,17.7
3,-10.25,52.08,0.02,0.023,0.023,0.02,0.02,2048,2325,2495,2395,2924,6.5,7.7,8.1,7.9,9.3,15.1,15.9,16.4,16.3,17.9
4,-10.25,52.25,0.02,0.023,0.023,0.02,0.02,1729,1996,2167,2070,2599,5.6,6.8,7.2,7,8.4,14.3,15.1,15.6,15.4,17.1
5,-10.08,51.75,0.02,0.023,0.023,0.02,0.02,1993,2267,2450,2352,2894,6.4,7.6,8.1,7.9,9.4,15.1,15.8,16.3,16.2,17.9
6,-10.08,51.92,0.02,0.023,0.023,0.02,0.02,1905,2188,2374,2267,2800,6.1,7.3,7.8,7.5,8.9,14.8,15.6,16.1,16,17.6
7,-10.08,52.08,0.02,0.023,0.023,0.02,0.02,1866,2146,2325,2219,2757,5.9,7.1,7.6,7.3,8.8,14.8,15.5,16,15.9,17.5
8,-10.08,52.25,0.02,0.023,0.023,0.02,0.02,1738,2021,2200,2097,2639,5.5,6.7,7.2,6.9,8.4,14.5,15.3,15.8,15.6,17.3
9,-10.08,53.42,0.03,0.023,0.023,0.02,0.02,1942,2289,2471,2374,2922,6,7.2,7.7,7.4,8.7,15,16.3,17,16.8,19.1
10,-10.08,53.58,0.03,0.023,0.023,0.02,0.02,1823,2179,2356,2261,2794,5.6,7,7.4,7.1,8.3,14.7,15.9,16.6,16.4,18.6
11,-10.08,53.92,0.03,0.024,0.024,0.02,0.02,1711,2057,2210,2143,2639,5.4,6.7,7,6.9,8,14.4,15.5,16.1,16,17.9
12,-10.08,54.25,0.03,0.024,0.024,0.02,0.02,1796,2130,2267,2203,2657,5.7,6.9,7.2,7.2,8.1,14.6,15.5,15.9,15.9,17.4
13,-9.92,51.75,0.02,0.023,0.022,0.02,0.02,1984,2264,2453,2356,2915,6.3,7.5,8.1,7.8,9.4,15,15.9,16.5,16.3,18
14,-9.92,51.92,0.02,0.023,0.023,0.02,0.02,1762,2054,2243,2140,2712,5.6,6.8,7.3,7,8.6,14.5,15.3,15.9,15.8,17.6
15,-9.92,52.08,0.02,0.023,0.023,0.02,0.02,2009,2301,2496,2389,2958,6.3,7.5,8,7.8,9.3,15.2,16.1,16.7,16.5,18.4
16,-9.92,52.25,0.02,0.023,0.023,0.02,0.02,1759,2061,2249,2146,2709,5.5,6.7,7.2,6.9,8.4,14.6,15.5,16.1,15.9,17.8
17,-9.92,53.42,0.03,0.023,0.023,0.02,0.02,1821,2189,2377,2277,2859,5.5,7,7.4,7.1,8.5,14.8,16.2,16.9,16.7,19.2
18,-9.92,53.58,0.02,0.024,0.023,0.02,0.02,1602,1985,2165,2070,2628,4.9,6.3,6.7,6.4,7.6,14.3,15.7,16.4,16.2,18.6
19,-9.92,53.75,0.03,0.024,0.023,0.02,0.02,1778,2140,2313,2225,2752,5.4,6.7,7.1,6.9,8,14.6,15.9,16.5,16.3,18.5
20,-9.92,53.92,0.03,0.024,0.024,0.02,0.02,1653,2021,2186,2103,2630,5.1,6.4,6.7,6.6,7.7,14.3,15.6,16.2,16,18.1
21,-9.92,54.08,0.03,0.024,0.024,0.02,0.02,1793,2158,2307,2237,2727,5.6,6.9,7.1,7.1,8.1,14.6,15.7,16.3,16.2,18.1
22,-9.92,54.25,0.03,0.024,0.024,0.02,0.02,1759,2106,2252,2188,2660,5.5,6.8,7,7,8,14.4,15.7,16.2,16.1,17.9
23,-9.75,51.58,0.02,0.023,0.022,0.02,0.02,2106,2416,2608,2502,3092,6.6,7.9,8.4,8.1,9.7,15.4,16.4,17,16.8,18.7
24,-9.75,51.75,0.02,0.023,0.023,0.02,0.02,1860,2182,2383,2274,2873,5.9,7.2,7.7,7.4,9,14.8,15.9,16.5,16.3,18.3
25,-9.75,51.92,0.02,0.023,0.023,0.02,0.02,1723,2049,2259,2137,2746,5.5,6.6,7.2,6.9,8.5,14.5,15.6,16.3,16.1,18.2
26,-9.75,52.08,0.02,0.023,0.023,0.02,0.02,1933,2261,2468,2359,2974,6.1,7.3,7.8,7.5,9.1,15.1,16.2,16.8,16.7,18.9
27,-9.75,52.25,0.02,0.023,0.023,0.02,0.02,1890,2219,2423,2323,2941,5.9,7,7.5,7.3,8.8,15,16.1,16.7,16.6,18.8
28,-9.75,52.42,0.02,0.023,0.023,0.02,0.02,1988,2335,2532,2429,3053,6,7.3,7.8,7.5,9.1,15.3,16.4,17,16.9,19.1
29,-9.75,52.58,0.02,0.023,0.023,0.02,0.02,2030,2396,2599,2490,3108,6.1,7.4,8,7.7,9.3,15.4,16.6,17.2,17.1,19.3
30,-9.75,53.42,0.03,0.023,0.023,0.02,0.02,1745,2137,2323,2229,2816,5.2,6.6,7,6.8,8.1,14.7,16.2,17,16.8,19.4
31,-9.75,53.58,0.02,0.024,0.024,0.02,0.02,1496,1857,2037,1952,2524,4.6,5.9,6.3,6.1,7.3,14,15.4,16.1,16,18.5
32,-9.75,53.75,0.02,0.024,0.024,0.02,0.02,1584,1958,2137,2043,2600,4.8,6.2,6.5,6.3,7.5,14.2,15.6,16.3,16.1,18.5
33,-9.75,53.92,0.02,0.024,0.024,0.02,0.02,1590,1973,2131,2061,2597,4.9,6.2,6.5,6.4,7.5,14.2,15.6,16.2,16,18.2
34,-9.75,54.08,0.03,0.024,0.024,0.02,0.02,1613,1979,2140,2064,2570,5,6.3,6.5,6.5,7.5,14.1,15.6,16.2,16,18
35,-9.75,54.25,0.03,0.024,0.024,0.02,0.02,1653,2018,2173,2100,2585,5.1,6.4,6.6,6.7,7.7,14.2,15.5,16.1,16,17.9
36,-9.58,51.58,0.02,0.023,0.022,0.02,0.02,2097,2429,2629,2532,3153,6.7,7.8,8.3,8.1,9.7,15.4,16.5,17.1,17,19.2
37,-9.58,51.75,0.02,0.023,0.023,0.02,0.02,1844,2188,2389,2283,2919,5.8,7.1,7.6,7.4,9,14.8,15.9,16.6,16.4,18.8
38,-9.58,51.92,0.02,0.023,0.023,0.02,0.02,1823,2173,2390,2283,2938,5.7,7,7.5,7.3,8.9,14.8,16,16.7,16.5,19
39,-9.58,52.08,0.02,0.023,0.023,0.02,0.02,1954,2310,2527,2420,3084,6.1,7.3,7.8,7.6,9.1,15.2,16.5,17.2,17,19.6
40,-9.58,52.25,0.02,0.023,0.023,0.02,0.02,1921,2283,2505,2390,3063,5.8,7,7.6,7.3,8.9,15.2,16.4,17.1,16.9,19.5
41,-9.58,52.42,0.02,0.023,0.023,0.02,0.02,1951,2316,2527,2417,3090,5.9,7.2,7.7,7.5,9.1,15.2,16.5,17.2,17.1,19.6
42,-9.58,52.58,0.02,0.023,0.023,0.02,0.02,1976,2362,2581,2475,3142,5.9,7.2,7.8,7.5,9.2,15.3,16.7,17.5,17.3,19.8
43,-9.58,52.75,0.02,0.023,0.023,0.02,0.02,2058,2441,2654,2545,3215,6.1,7.5,8,7.8,9.3,15.6,16.9,17.6,17.4,19.9
44,-9.58,53.25,0.02,0.023,0.023,0.02,0.02,1927,2326,2530,2429,3072,5.7,7,7.4,7.2,8.6,15.3,16.8,17.6,17.5,20.4
45,-9.58,53.42,0.03,0.023,0.023,0.02,0.02,1699,2107,2305,2210,2826,5,6.4,6.8,6.6,7.9,14.6,16.2,17,16.9,19.7
46,-9.58,53.58,0.02,0.024,0.024,0.02,0.02,1459,1821,2013,1927,2531,4.3,5.6,6,5.9,7.1,13.9,15.4,16.1,16,18.6
47,-9.58,53.75,0.02,0.024,0.024,0.02,0.02,1577,1967,2156,2070,2661,4.7,6,6.3,6.2,7.4,14.3,15.7,16.4,16.3,18.8
48,-9.58,53.92,0.02,0.024,0.023,0.02,0.02,1590,1976,2156,2067,2631,4.8,6.1,6.4,6.3,7.4,14.3,15.7,16.4,16.2,18.6
49,-9.58,54.08,0.02,0.024,0.024,0.02,0.02,1528,1897,2073,1991,2524,4.6,5.9,6.1,6.1,7.1,14.1,15.4,16.1,15.9,18.1
50,-9.58,54.25,0.02,0.024,0.024,0.02,0.02,1536,1906,2067,1994,2506,4.7,6,6.3,6.2,7.3,14.1,15.4,16,15.8,17.9
51,-9.42,38.75,0.37,0.395,0.43,0.4,0.48,4209,4632,4921,4814,5775,10.8,12.1,12.9,12.2,14.5,22.1,24,25.1,24.3,27.3
52,-9.42,38.92,0.36,0.392,0.433,0.39,0.48,4221,4711,5025,4869,5892,10.9,12.2,13,12.3,14.7,22.2,24.6,26.5,24.8,29.8
53,-9.42,39.08,0.35,0.391,0.432,0.39,0.49,4309,4806,5119,4976,5983,11.1,12.5,13.3,12.6,15,22.3,24.7,26.5,24.9,29.5
54,-9.42,51.58,0.02,0.023,0.022,0.02,0.02,2091,2462,2681,2572,3254,6.5,7.9,8.4,8.2,9.9,15.5,16.8,17.5,17.4,19.9
55,-9.42,51.75,0.02,0.023,0.023,0.02,0.02,1851,2234,2453,2332,3023,5.8,7.1,7.7,7.3,9.1,15,16.3,17,16.8,19.5
56,-9.42,51.92,0.02,0.023,0.023,0.02,0.02,1638,2022,2250,2134,2832,5.1,6.4,7,6.8,8.4,14.4,15.8,16.6,16.4,19.2
57,-9.42,52.08,0.02,0.023,0.023,0.02,0.02,1869,2265,2493,2381,3094,5.7,7,7.5,7.3,8.9,15.1,16.5,17.3,17.2,20.1
58,-9.42,52.25,0.02,0.023,0.023,0.02,0.02,1793,2183,2411,2311,3027,5.4,6.6,7.2,7,8.7,14.9,16.4,17.2,17.1,19.9
59,-9.42,52.42,0.02,0.023,0.023,0.02,0.02,1900,2299,2530,2420,3133,5.6,6.9,7.5,7.2,8.9,15.2,16.7,17.5,17.4,20.3
60,-9.42,52.58,0.02,0.023,0.023,0.02,0.02,2015,2423,2655,2536,3261,5.9,7.3,7.8,7.5,9.2,15.5,17,17.8,17.6,20.5
61,-9.42,52.75,0.02,0.023,0.023,0.02,0.02,1951,2372,2609,2493,3212,5.7,7,7.6,7.3,9,15.4,16.9,17.7,17.6,20.5
62,-9.42,52.92,0.02,0.023,0.023,0.02,0.02,1854,2274,2499,2393,3108,5.4,6.8,7.3,7,8.6,15.1,16.6,17.4,17.3,20.1
63,-9.42,53.25,0.03,0.023,0.023,0.02,0.02,1787,2219,2442,2326,3020,5.1,6.6,7,6.8,8.3,15,16.7,17.6,17.3,20.4
64,-9.42,53.42,0.02,0.023,0.023,0.02,0.02,1671,2101,2314,2204,2880,4.8,6.2,6.6,6.5,7.8,14.7,16.3,17.1,16.9,19.9
65,-9.42,53.58,0.02,0.023,0.023,0.02,0.02,1650,2067,2271,2177,2838,4.8,6.1,6.5,6.4,7.6,14.5,16.1,16.9,16.7,19.6
66,-9.42,53.75,0.02,0.024,0.023,0.02,0.02,1602,2012,2211,2122,2743,4.6,6,6.3,6.2,7.3,14.4,15.9,16.7,16.5,19.1
67,-9.42,53.92,0.02,0.024,0.023,0.02,0.02,1568,1967,2156,2067,2670,4.5,5.9,6.2,6.1,7.2,14.3,15.7,16.5,16.3,18.8
68,-9.42,54.08,0.02,0.024,0.023,0.02,0.02,1574,1967,2143,2058,2637,4.6,5.9,6.2,6.2,7.3,14.3,15.7,16.4,16.2,18.6
69,-9.42,54.25,0.02,0.024,0.024,0.02,0.02,1533,1906,2073,1997,2533,4.5,6,6.3,6.2,7.3,14.1,15.4,16.1,15.9,18.1
70,-9.25,38.58,0.4,0.441,0.476,0.45,0.52,4391,4906,5256,5106,6235,11.2,12.7,13.6,12.8,15.2,22.6,25.1,26.5,25.4,29.3
71,-9.25,38.75,0.38,0.422,0.461,0.42,0.51,4242,4766,5120,4970,6115,10.8,12.2,13.1,12.3,14.8,22.3,24.9,26.4,25.3,29.5
72,-9.25,38.92,0.35,0.396,0.442,0.4,0.5,4100,4688,5069,4888,6113,10.3,11.8,12.8,11.9,14.4,22.1,25.6,28.1,25.8,32.2
73,-9.25,39.08,0.35,0.405,0.452,0.41,0.51,4264,4868,5267,5077,6299,10.9,12.3,13.3,12.4,14.9,22.4,26.4,29.2,26.6,33.6
74,-9.25,39.25,0.34,0.385,0.436,0.39,0.5,4227,4831,5209,5029,6220,10.8,12.3,13.2,12.4,14.8,22.2,25.6,27.6,26.4,32
75,-9.25,39.42,0.32,0.368,0.419,0.37,0.48,4230,4825,5194,5025,6196,10.8,12.3,13.1,12.4,14.8,22.1,26,28.2,26.8,33.3
76,-9.25,42.92,0.12,0.171,0.206,0.19,0.3,3301,3969,4310,4194,5352,9.6,11.4,12.2,11.6,13.9,18.9,21.9,23.7,23.1,29.1
77,-9.25,43.08,0.11,0.164,0.197,0.18,0.29,3249,3914,4255,4139,5273,9.5,11.5,12.2,11.7,13.9,18.7,21.7,23.5,22.7,28.2
78,-9.25,51.58,0.02,0.022,0.022,0.02,0.02,2079,2474,2703,2593,3312,6.5,7.8,8.4,8.1,9.9,15.5,16.9,17.7,17.5,20.3
79,-9.25,51.75,0.02,0.023,0.023,0.02,0.02,1781,2186,2426,2305,3057,5.5,6.9,7.5,7.2,9,14.8,16.4,17.2,17,20
80,-9.25,51.92,0.02,0.023,0.023,0.02,0.02,1684,2104,2347,2226,2993,5.3,6.5,7.1,6.8,8.5,14.6,16.2,17.1,16.9,20
81,-9.25,52.08,0.02,0.023,0.023,0.02,0.02,1711,2131,2381,2265,3033,5.2,6.5,7.1,6.9,8.6,14.8,16.4,17.3,17.1,20.2
82,-9.25,52.25,0.02,0.023,0.023,0.02,0.02,1610,2028,2272,2150,2927,4.8,6.1,6.7,6.4,8.2,14.5,16.2,17.1,16.8,20
83,-9.25,52.42,0.02,0.023,0.023,0.02,0.02,1787,2226,2473,2348,3118,5.2,6.7,7.2,7,8.7,15,16.6,17.5,17.3,20.5
84,-9.25,52.58,0.02,0.023,0.023,0.02,0.02,1924,2363,2606,2491,3270,5.6,7,7.6,7.3,9.1,15.4,17,17.9,17.7,20.9
85,-9.25,52.75,0.02,0.023,0.023,0.02,0.02,1845,2287,2533,2421,3197,5.3,6.6,7.2,7,8.7,15.2,16.8,17.7,17.5,20.7
86,-9.25,52.92,0.02,0.023,0.023,0.02,0.02,1818,2271,2524,2408,3182,5.1,6.6,7.2,6.9,8.4,15.2,16.9,17.8,17.6,20.7
87,-9.25,53.08,0.02,0.023,0.023,0.02,0.02,1674,2131,2381,2268,3042,4.7,6.2,6.7,6.4,8,14.8,16.5,17.4,17.2,20.3
88,-9.25,53.25,0.03,0.023,0.023,0.02,0.02,1766,2210,2448,2344,3090,5,6.4,6.9,6.7,8.2,15,16.7,17.6,17.4,20.7
89,-9.25,53.42,0.03,0.023,0.023,0.02,0.02,1772,2207,2442,2338,3057,5,6.3,6.7,6.6,7.9,15,16.7,17.5,17.3,20.4
90,-9.25,53.58,0.03,0.023,0.023,0.02,0.02,1745,2186,2399,2302,2996,5,6.3,6.7,6.6,7.9,14.9,16.5,17.3,17.1,20
91,-9.25,53.75,0.02,0.024,0.023,0.02,0.02,1673,2104,2311,2222,2898,4.8,6.1,6.5,6.4,7.7,14.6,16.2,17,16.9,19.7
92,-9.25,53.92,0.02,0.024,0.023,0.02,0.02,1625,2043,2232,2149,2789,4.6,6.1,6.4,6.3,7.5,14.4,16,16.7,16.6,19.2
93,-9.25,54.08,0.02,0.023,0.023,0.02,0.02,1681,2097,2280,2195,2801,4.9,6.3,6.6,6.5,7.7,14.6,16.1,16.8,16.6,19.1
94,-9.25,54.25,0.02,0.024,0.023,0.02,0.02,1648,2043,2216,2140,2713,4.9,6.2,6.5,6.5,7.7,14.4,15.9,16.5,16.4,18.8
95,-9.08,38.42,0.41,0.45,0.483,0.46,0.53,4218,4843,5232,5074,6331,10.9,12.3,13.2,12.5,15,22.4,25.3,26.9,25.7,30.2
96,-9.08,38.58,0.41,0.462,0.499,0.47,0.55,4404,5022,5409,5262,6541,11.3,12.8,13.7,12.9,15.4,22.8,25.8,27.4,26.3,30.9
97,-9.08,38.75,0.41,0.459,0.499,0.46,0.55,4383,5038,5440,5272,6560,11.2,12.7,13.6,12.9,15.4,22.8,26,27.8,26.5,31.4
98,-9.08,38.92,0.37,0.425,0.475,0.43,0.54,4158,4871,5298,5096,6437,10.5,12.1,13.1,12.3,14.8,22.4,26.7,29.6,26.9,34.2
99,-9.08,39.08,0.34,0.405,0.455,0.41,0.52,4097,4820,5253,5042,6407,10.3,11.9,12.9,12.1,14.6,22.2,26.8,29.9,27,34.7
100,-9.08,39.25,0.33,0.389,0.444,0.39,0.51,4115,4823,5259,5051,6420,10.3,11.9,12.9,12.1,14.6,22.2,26.6,29.5,27.1,34.3
101,-9.08,39.42,0.32,0.378,0.43,0.38,0.5,4145,4844,5277,5072,6413,10.5,12.1,13,12.2,14.7,22.1,26.3,28.6,27.2,34.1
102,-9.08,39.58,0.31,0.353,0.406,0.36,0.48,4127,4819,5249,5047,6383,10.5,12,13,12.2,14.6,22,26,28.3,26.9,33.9
103,-9.08,42.58,0.15,0.192,0.226,0.21,0.32,3429,4131,4503,4402,5652,9.5,11.2,11.9,11.4,13.3,19.5,22.8,24.8,24.1,30.5
104,-9.08,42.75,0.13,0.176,0.209,0.2,0.3,3241,3951,4320,4204,5445,9.2,10.9,11.7,11.1,13.1,19,22.2,24.2,23.5,30
105,-9.08,42.92,0.09,0.148,0.186,0.17,0.28,2906,3626,3998,3885,5144,8.3,10.2,11.1,10.4,12.8,18.1,21.4,23.4,22.7,29.1
106,-9.08,43.08,0.09,0.159,0.196,0.18,0.3,3055,3774,4146,4033,5283,8.8,11,11.8,11.3,13.7,18.4,21.7,23.6,22.8,28.8
107,-9.08,51.58,0.02,0.023,0.022,0.02,0.02,2030,2432,2676,2572,3333,6.3,7.6,8.1,8,9.8,15.5,17,17.9,17.7,20.9
108,-9.08,51.75,0.02,0.023,0.022,0.02,0.03,1960,2377,2627,2514,3309,6,7.4,7.9,7.7,9.6,15.3,16.9,17.8,17.6,20.9
109,-9.08,51.92,0.02,0.023,0.023,0.02,0.03,1796,2229,2475,2366,3167,5.5,6.8,7.4,7.2,9,15,16.6,17.6,17.3,20.6
110,-9.08,52.08,0.02,0.023,0.023,0.02,0.03,1760,2208,2457,2342,3140,5.4,6.6,7.2,7,8.8,15,16.6,17.6,17.4,20.6
111,-9.08,52.25,0.02,0.023,0.023,0.02,0.02,1622,2062,2311,2190,2994,4.8,6.2,6.8,6.5,8.3,14.6,16.4,17.3,17.1,20.3
112,-9.08,52.42,0.02,0.023,0.023,0.02,0.04,1833,2278,2533,2415,3225,5.3,6.7,7.3,7,8.8,15.2,16.9,17.8,17.6,20.9
113,-9.08,52.58,0.02,0.023,0.023,0.02,0.05,1931,2381,2637,2530,3340,5.4,6.9,7.5,7.2,9,15.5,17.2,18.1,17.9,21.2
114,-9.08,52.75,0.02,0.023,0.023,0.02,0.03,1876,2348,2600,2488,3310,5.2,6.6,7.1,6.9,8.6,15.3,17.1,18,17.8,21.1
115,-9.08,52.92,0.02,0.023,0.023,0.02,0.02,1848,2314,2579,2457,3282,5.1,6.5,7.1,6.8,8.5,15.3,17,18,17.8,21
116,-9.08,53.08,0.02,0.023,0.023,0.02,0.02,1717,2192,2448,2341,3154,4.8,6.3,6.8,6.6,8.1,15,16.8,17.7,17.5,20.8
117,-9.08,53.25,0.02,0.023,0.023,0.02,0.02,1860,2335,2591,2478,3276,5.2,6.6,7.1,6.9,8.4,15.3,17.1,18,17.8,21.1
118,-9.08,53.42,0.03,0.023,0.023,0.02,0.02,1778,2241,2490,2369,3136,5,6.5,6.9,6.7,8.1,15.2,16.7,17.6,17.4,20.4
119,-9.08,53.58,0.02,0.023,0.023,0.02,0.02,1643,2101,2329,2229,2978,4.5,6,6.4,6.3,7.7,14.7,16.4,17.2,17,19.9
120,-9.08,53.75,0.02,0.024,0.023,0.02,0.02,1605,2037,2259,2165,2865,4.4,5.9,6.3,6.2,7.6,14.5,16.1,16.8,16.7,19.4
121,-9.08,53.92,0.02,0.023,0.023,0.02,0.02,1611,2031,2232,2149,2801,4.5,6,6.4,6.3,7.6,14.5,16,16.7,16.6,19.1
122,-9.08,54.08,0.02,0.023,0.023,0.02,0.02,1601,2003,2192,2113,2746,4.6,6,6.4,6.3,7.6,14.4,15.8,16.5,16.3,18.8
123,-9.08,54.25,0.02,0.024,0.023,0.02,0.02,1655,2049,2222,2161,2743,4.7,6.2,6.5,6.5,7.8,14.5,16,16.6,16.5,18.7
124,-8.92,37.08,0.47,0.541,0.565,0.54,0.61,4223,4921,5323,5154,6463,11.8,13.2,13.9,13.6,16,20.9,22.8,24.2,23.4,28.8
125,-8.92,37.25,0.47,0.535,0.562,0.54,0.61,4238,4905,5308,5142,6445,11.6,13,13.8,13.4,15.8,21.3,23.1,24.4,23.4,29.2
126,-8.92,38.58,0.42,0.474,0.512,0.48,0.56,4316,5038,5455,5284,6645,11.1,12.4,13.3,12.7,15.2,22.6,26.3,28.1,26.8,32.1
127,-8.92,38.75,0.41,0.479,0.516,0.48,0.57,4383,5139,5578,5388,6799,11.2,12.7,13.7,12.9,15.4,22.9,26.5,28.4,27.2,32.7
128,-8.92,38.92,0.4,0.466,0.51,0.47,0.57,4389,5157,5609,5400,6821,11.1,12.7,13.7,12.9,15.4,23,27.2,30,27.4,34.3
129,-8.92,39.08,0.37,0.436,0.485,0.44,0.55,4270,5033,5475,5276,6706,10.8,12.4,13.4,12.6,15.1,22.7,27.4,30.5,27.6,35.4
130,-8.92,39.25,0.34,0.407,0.461,0.41,0.53,4149,4920,5378,5158,6606,10.4,12,13,12.2,14.7,22.4,27.3,30.4,27.5,35.4
131,-8.92,39.42,0.3,0.362,0.419,0.37,0.5,3896,4683,5147,4926,6378,9.7,11.4,12.4,11.6,14.1,21.8,26.6,29.8,26.9,34.8
132,-8.92,39.58,0.29,0.345,0.405,0.35,0.48,3933,4710,5171,4951,6396,9.8,11.5,12.5,11.7,14.2,21.7,26.4,29.3,26.7,33.9
133,-8.92,39.75,0.29,0.337,0.394,0.34,0.48,4024,4786,5244,5033,6466,10.1,11.8,12.7,11.9,14.4,21.8,25.9,28.3,26.8,33.8
134,-8.92,39.92,0.28,0.335,0.392,0.34,0.47,4069,4850,5295,5093,6517,10.3,11.9,12.8,12,14.5,21.8,25.9,28.2,26.8,33.7
135,-8.92,40.08,0.27,0.321,0.381,0.33,0.46,4042,4828,5277,5066,6493,10.2,11.9,12.8,12.1,14.6,21.6,25.6,28.1,26.4,33
136,-8.92,40.25,0.25,0.295,0.358,0.3,0.44,3886,4695,5146,4929,6362,10,11.6,12.5,11.7,14.1,21.2,25.5,28.1,25.7,32.5
137,-8.92,41.92,0.16,0.207,0.24,0.23,0.33,3214,3927,4308,4204,5500,8.6,10.1,10.9,10.3,12.3,19.2,22.5,24.4,23.8,30.1
138,-8.92,42.58,0.14,0.188,0.221,0.21,0.32,3238,3997,4381,4284,5610,8.8,10.6,11.4,10.8,12.9,19.2,22.6,24.5,23.9,30.3
139,-8.92,42.75,0.12,0.175,0.213,0.2,0.31,3131,3888,4278,4168,5522,8.7,10.5,11.2,10.6,12.8,18.9,22.2,24.1,23.5,29.9
140,-8.92,42.92,0.09,0.152,0.19,0.18,0.3,2824,3590,3983,3870,5214,8,9.9,10.8,10.2,12.8,18.1,21.7,23.7,22.8,29.3
141,-8.92,43.08,0.08,0.155,0.195,0.18,0.3,2854,3620,4010,3891,5214,8.2,10.4,11.3,10.6,13.3,18,21.5,23.5,22.7,29.2
142,-8.92,43.25,0.11,0.188,0.229,0.21,0.35,3213,3963,4344,4222,5499,9.4,11.5,12.3,11.9,14.2,18.7,22.2,24.2,23.3,29.7
143,-8.92,51.58,0.02,0.023,0.022,0.02,0.06,2124,2545,2794,2691,3498,6.5,7.9,8.5,8.3,10.2,15.7,17.3,18.3,18,21.3
144,-8.92,51.75,0.02,0.023,0.022,0.02,0.07,1988,2429,2679,2575,3385,6.1,7.5,8.1,7.8,9.7,15.5,17,17.9,17.7,21
145,-8.92,51.92,0.02,0.023,0.023,0.02,0.06,1836,2280,2536,2420,3249,5.6,6.9,7.5,7.2,9.1,15.1,16.7,17.6,17.4,20.7
146,-8.92,52.08,0.02,0.023,0.023,0.02,0.05,1693,2159,2418,2293,3121,5.1,6.5,7.1,6.8,8.7,14.9,16.5,17.4,17.2,20.5
147,-8.92,52.25,0.02,0.023,0.023,0.02,0.09,1802,2259,2518,2396,3231,5.3,6.6,7.2,7,8.9,15.1,16.8,17.7,17.5,20.8
148,-8.92,52.42,0.02,0.023,0.023,0.02,0.09,1870,2341,2594,2485,3319,5.3,6.8,7.4,7.1,9,15.3,17.1,18,17.8,21.1
149,-8.92,52.58,0.02,0.023,0.023,0.02,0.11,2025,2500,2762,2649,3486,5.6,7.1,7.6,7.4,9.2,15.9,17.5,18.4,18.2,21.5
150,-8.92,52.75,0.02,0.023,0.023,0.02,0.08,2013,2497,2765,2643,3490,5.4,7,7.6,7.3,9.1,15.9,17.6,18.5,18.3,21.6
151,-8.92,52.92,0.02,0.023,0.023,0.02,0.04,1858,2348,2619,2497,3349,5.1,6.6,7.1,6.9,8.6,15.4,17.1,18.1,17.8,21.1
152,-8.92,53.08,0.02,0.023,0.023,0.02,0.03,1842,2329,2597,2484,3337,5.1,6.5,7,6.8,8.4,15.3,17.2,18.1,17.9,21.1
153,-8.92,53.25,0.02,0.023,0.023,0.02,0.03,1854,2350,2603,2490,3322,5,6.6,7.1,6.9,8.5,15.4,17.1,18,17.8,21
154,-8.92,53.42,0.02,0.023,0.023,0.02,0.02,1728,2207,2460,2350,3154,4.8,6.2,6.7,6.5,8,15.1,16.7,17.6,17.3,20.4
155,-8.92,53.58,0.02,0.023,0.023,0.02,0.02,1636,2080,2311,2220,2990,4.5,5.9,6.3,6.2,7.7,14.8,16.3,17.1,16.9,19.8
156,-8.92,53.75,0.02,0.023,0.023,0.02,0.02,1590,2016,2241,2146,2874,4.3,5.9,6.3,6.2,7.7,14.6,16,16.8,16.6,19.4
157,-8.92,53.92,0.02,0.023,0.023,0.02,0.02,1588,1991,2201,2119,2795,4.4,5.8,6.3,6.1,7.6,14.5,16,16.7,16.5,19.1
158,-8.92,54.08,0.02,0.024,0.023,0.02,0.02,1415,1772,1964,1891,2518,3.9,5.3,5.7,5.6,7,13.9,15.3,15.9,15.8,18.2
159,-8.92,54.25,0.02,0.023,0.023,0.02,0.02,1542,1915,2098,2022,2606,4.4,5.8,6.2,6.1,7.4,14.3,15.6,16.2,16.1,18.3
160,-8.75,37.08,0.48,0.557,0.589,0.56,0.64,4263,4991,5424,5240,6623,11.7,13.1,13.9,13.5,15.9,21.3,23.5,25,23.9,30.1
161,-8.75,37.25,0.46,0.535,0.566,0.54,0.61,4102,4818,5251,5070,6446,11.1,12.5,13.3,12.9,15.3,21.2,23.6,24.9,23.9,29.9
162,-8.75,37.42,0.46,0.535,0.567,0.54,0.62,4130,4885,5315,5137,6517,11.1,12.5,13.3,12.9,15.3,21.5,24.5,26.1,24.9,30.2
163,-8.75,37.58,0.47,0.539,0.578,0.54,0.63,4209,4983,5416,5232,6612,11.3,12.6,13.4,13,15.5,21.8,25.1,26.7,25.4,30.6
164,-8.75,37.75,0.45,0.524,0.558,0.53,0.61,4124,4916,5334,5165,6524,11,12.4,13.1,12.8,15.2,21.7,25.1,26.7,25.5,30.7
