afelong,afelat,ATEAMid,abialb,betnan,betpen,betpub,cassat,fagsyl,ileaqu,juncomm,junoxy,lardec,picabi,pinhal,pinsyl,quecoc,queile,quepub,querob
13.984,48.522,1412,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1
13.993,48.072,1413,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1
14.002,47.622,1414,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
14.01,47.173,1415,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,1
14.019,46.723,1416,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1
14.027,46.273,1417,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
14.035,45.823,1418,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1
14.042,45.373,1419,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
14.05,44.923,1420,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0
14.085,42.672,1422,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0
14.091,42.222,1423,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1
14.098,41.772,1424,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0
14.104,41.322,1425,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
14.11,40.872,1426,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1
14.149,37.718,1427,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1
14.154,37.267,1428,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
14.379,35.953,1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.382,68.732,1431,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
14.394,68.284,1432,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
14.406,67.836,1433,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
14.417,67.387,1434,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
14.428,66.939,1435,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.438,66.49,1436,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.448,66.042,1437,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
14.458,65.594,1438,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
14.467,65.145,1439,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
14.476,64.697,1440,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
